_start,_stop,_time,gas,humidity,temperature
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:32.539Z,31,69,31.7
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:37.497Z,24,69,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:42.523Z,31,69,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:47.497Z,22,70,31.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:52.556Z,31,69,31.7
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:37:57.496Z,25,69,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:02.56Z,31,69,31.9
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:07.515Z,24,70,31
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:12.566Z,32,70,31.5
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:17.527Z,24,70,31.3
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:22.53Z,31,70,31
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:27.544Z,24,70,31
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:32.566Z,31,70,31.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:37.536Z,24,70,31.7
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:44.624Z,31,70,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:47.544Z,24,70,31.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:52.523Z,24,69,31.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:38:57.536Z,24,70,31.3
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:02.566Z,31,69,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:07.544Z,24,70,31.3
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:12.566Z,32,70,31.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:17.527Z,24,70,31.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:22.678Z,31,70,31.2
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:27.496Z,24,69,31.2
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:32.546Z,31,69,31.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:37.7Z,24,69,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:42.696Z,31,69,31.9
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:47.568Z,24,69,31.8
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:52.544Z,24,69,31.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:39:57.545Z,24,69,31
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:02.559Z,31,69,31.7
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:07.516Z,24,68,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:12.536Z,32,68,31.2
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:17.56Z,24,68,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:22.546Z,31,68,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:27.544Z,24,68,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:32.556Z,25,68,31.6
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:37.514Z,24,68,31.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:42.576Z,31,68,31.9
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:47.526Z,24,68,31.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:52.521Z,39,68,31.3
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:40:57.612Z,24,68,30.1
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:41:02.548Z,31,68,30.4
1970-01-01T00:00:00Z,2025-05-21T07:59:13.9097258Z,2025-05-13T10:41:13.105Z,24,68,30
